ITEM,ProductId,Price,Categories,Recommended Size,Unique Size ,Unique Categories
salt,4057362843,144,essentials,0.5 Kg Packet,,
strong cheese,4057362886,287,dairy,0.5 Kg Packet,,
hot dogs,4057362894,137,ready to eat,1 Piece,,
pet food,4057362967,219,ready to eat,Large Box,,
whole wheat rice,4057363823,128,essentials,5 Kg Packet,,
sandwich,4057368825,194,ready to eat,1 Box,,
magazines,4057553908,272,extras,1 Piece,,
protein bar,5297000963,163,ready to eat,1 Piece,,
mayonnaise,5357954771,169,dairy,Small Jar,,
cider,5357955314,261,beverage,1 L Bottle,,
burger sauce,5357955454,161,ready to eat,1 Kg Packet,,
bramble,5357955743,155,fresh produce,1 Kg Packet,,
nonfat milk,5357955751,154,dairy,1 L Bottle,,
green beans,5357955786,170,fresh produce,1 Kg Packet,,
strawberries,5357955832,256,fresh produce,1 Kg Packet,,
eggplant,5357955867,276,fresh produce,1 Kg Packet,,
mushroom cream sauce,5357955905,146,ready to eat,Small Jar,,
gums,5357955948,248,ready to eat,1 Piece,,
cereals,5357955972,132,ready to eat,Small Box,,
flax seed,5357956014,124,essentials,1 Kg Packet,,
soda,5357956111,125,beverage,Small Can,,
dessert wine,5357956227,158,beverage,1 L Bottle,,
corn,6022600685,110,fresh produce,Small Pack,,
fresh bread,6022600744,244,ready to eat,1 Loaf,,
brownies,6022600790,161,ready to eat,1 Packet,,
fromage blanc,6022600804,248,dairy,0.5 Kg Packet,,
chocolate bread,6022600812,228,ready to eat,1 Loaf,,
mashed potato,6040652705,280,ready to eat,1 Kg Packet,,
gluten free bar,6041134473,187,ready to eat,1 Piece,,
chili,6041134494,143,fresh produce,1 Kg Packet,,
barbecue sauce,6041134511,251,ready to eat,Small Jar,,
light cream,6053640972,210,dairy,Small Jar,,
mint green tea,6117036094,244,beverage,Small Can,,
black tea,6117043058,100,beverage,Small Can,,
bacon,6152000416,136,meat,1 Kg Packet,,
shampoo,6162071103,124,extras,1 L Bottle,,
blueberries,6162751473,155,fresh produce,1 Kg Packet,,
cauliflower,6165151329,229,fresh produce,1 Kg Packet,,
extra dark chocolate,6165290582,298,ready to eat,1 Piece,,
white wine,6167061580,237,beverage,1 L Bottle,,
babies food,6169040335,121,ready to eat,Large Box,,
toothpaste,6175005570,273,extras,1 Box,,
melons,6175005589,251,fresh produce,1 Kg Packet,,
ketchup,7119018714,233,ready to eat,1 L Bottle,,
cream,7535842801,161,dairy,Small Jar,,
hand protein bar,7538650584,297,ready to eat,2 Piece,,
body spray,7539914718,151,extras,1 L Bottle,,
oatmeal,7800558258,105,ready to eat,Large Box,,
zucchini,7806397051,231,fresh produce,1 Kg Packet,,
water spray,7842953384,263,extras,2 L Bottle,,
tea,7883527428,168,beverage,Small Can,,
napkins,7883633309,148,extras,1 Packet,,
pasta,6578345490,150,ready to eat,1 Packet,,
whole wheat pasta,7509341356,190,ready to eat,1 Packet,,
