ITEM,ProductId,Rating,UserId
french fries,1304511081,4,A10ZKDOZOSH219
dessert wine,5357956227,4,A1CNSLLYW5A8YB
soup,1304495396,1,ARUSOE3CJ7TNF
grated cheese,1304651104,3,A2Z9QP4MZ2HXCZ
green grapes,762451459,1,ACZ94JB8BFMJ9
olive oil,1304351475,5,A36ZKFLSDE8WX5
carrots,1906987238,1,AVCSVH9L0BPIF
pasta,1457982633,3,A2VF4TALLW8G9
fresh tuna,1304622665,3,A3UFMKLD77O21S
soda,5357956111,5,A1QPQIJVS0JC5Y
red wine,1304511154,5,A2UQZD76FKVQ6D
chutney,1304482634,3,A1LNS0V7YBBJJE
pet food,4057362967,3,A3B0M39TDARC6X
low fat yogurt,1304146744,3,A1ZNOA9OHWIVMH
champagne,1304665720,5,A15ELVI3I6G1SQ
tomatoes,1572671203,1,A35ELDPD0N7T0U
cream,7535842801,3,A1B07LXV78TWZ
clothes accessories,1304651029,5,A29LZJWIY7KJZR
mint green tea,6117036094,3,A13IIHXY0QX4Y4
low fat yogurt,1304146744,2,A1AM400PUH70WO
oil,3602116004,5,A18X2IP46I5JB8
soup,1304495396,3,A2DT0SAXS5DIL8
red wine,1304511154,5,A29AQSCFQ1OZ9R
avocado,733001998,4,A225BCNNIG03JT
fresh tuna,1304622665,4,A3590W7FEAGQY4
nonfat milk,5357955751,5,A1U6E8IJEATCYM
strawberries,5357955832,3,A1X1X91COEBHVI
pickles,1304622622,4,A2RNK4TW1FPXEF
flax seed,5357956014,5,AYHZNXRPOHMO2
shampoo,6162071103,3,A3NIHH9X6L3RRM
escalope,1304624498,3,A1UDWB8WFFGN55
antioxydant juice,1304196062,4,A20LFHVP5CMQ1
burger sauce,5357955454,5,A16495HOSCEV0N
chutney,1304482634,2,A22ET3HEUN5JNP
chicken,1451646526,3,A1NNJ0MNFIF3Z8
red wine,1304511154,5,A2C55XULIQ3F8I
yogurt cake,1304651118,2,AOJRTF5PJMIR6
shampoo,6162071103,1,ACUB5EB5F72B9
burgers,1304482596,2,A1XD9BN1CBR8U4
cauliflower,6165151329,3,A2K18LH5HC6K9B
nonfat milk,5357955751,3,A38JQUXZTKKHQP
energy drink,1304146434,3,A1QMSSMUBUXX5S
shallot,1929099886,1,A3VUS3HC1CCVOQ
meatballs,1304511146,4,A19VNE2EF1QYNE
mint,1304651347,5,A1L8MP88Q3DXXJ
grated cheese,1304651104,5,AEPAHTOT8YT04
hand protein bar,7538650584,4,AM0RSD59GI2IK
salt,4057362843,4,A2XYBHUJ7E1QDR
asparagus,1304665704,3,A39GFZUNMWJ44J
bug spray,3423470476,2,AEWKMTITVR260
soda,5357956111,1,A1C4OJZCDI8LN3
energy bar,1304622657,3,ACZBT8YQ2TYOY
cake,4057362797,2,A24662VRPFY4YK
yams,1304139220,5,A3S87ZOPB3UM9N
champagne,1304665720,5,A18CAHNYYC8AA3
frozen vegetables,1304511073,1,AGXDI4U7PAUGZ
bramble,5357955743,2,ADZZCC6UUMA0N
burgers,1304482596,2,A1F4CQTUN5WTEA
tomato juice,1304146537,4,AQFATFCB1HBG3
low fat yogurt,1304146744,5,ASPRENFTOYHO0
toothpaste,6175005570,5,A2DOQ89OLXNHNL
yams,1304139220,1,A1IFYKTMBOTBP7
low fat yogurt,1304146744,3,A364UC5PLUM8M3
cake,4057362797,2,AC4343QXC1BCQ
water spray,7842953384,2,A7SVI5Q1WC3UP
burgers,1304482596,2,A28UWG41MHTXGC
zucchini,7806397051,4,A2EH8T3LQS6EET
tea,7883527428,1,A1HBQHOWMXOLBM
corn,6022600685,3,A1MOOCFYF4BW9F
babies food,6169040335,2,A31J5P90FNANXZ
nonfat milk,5357955751,2,A34LP4FWKYTHB5
chicken,1451646526,3,A328DC9RTOA5WS
shrimp,205616461,1,A8R89360S6RZ3
cooking oil,3227001381,1,A1B9XPHEGQ986Y
shrimp,205616461,4,ABKY0V59DOJ5Y
cereals,5357955972,2,A3DHGDJ779MMSD
ketchup,7119018714,4,AH9GYBKL6KJOF
strong cheese,4057362886,2,A2Z1MC0VM2SCZ7
bramble,5357955743,3,AWL41OE56O3O3
french wine,1412759676,5,A3AOPVHGVIEHFK
sparkling water,1304622452,4,A1G8D0R2YLCJPR
asparagus,1304665704,4,A1E5TTW0XXZIE7
burger sauce,5357955454,5,AV434O5MUBGN5
ground beef,1304622428,1,A1CT0SH9XKNIDY
mineral water,1304174905,3,A1FGEAEGWVYJ2I
toothpaste,6175005570,3,A2WDW3VRWKRRWV
cider,5357955314,1,A86RECWKC0IKS
black tea,6117043058,3,A2GMXV65XFTCR6
parmesan cheese,1304622223,4,A2TSBFY4ZZIMXW
avocado,733001998,4,AGQ844D0UXGBF
almonds,558925278,3,A3E13GVY40E6T5
eggs,1304511111,1,A1E09RWAID7HCH
cauliflower,6165151329,4,A2ME4DLS0Q488W
vegetables mix,737104473,4,A2HZV40RNSZ381
candy bars,3227001055,5,AS498SIPUF2PU
chocolate,1304651088,3,AL4XKV2S6IXQS
fresh tuna,1304622665,5,A138ATFNJU102C
shrimp,205616461,2,A1B0Q1X54GILZP
whole weat flour,1304139212,4,A22HDI6Y0ERZLN
salad,1304174867,3,A3SK4E6TWXE367
burger sauce,5357955454,2,A3CHPIP8HRFNC8
whole weat flour,1304139212,3,A1GIGGY4X47QMA
green beans,5357955786,3,A3V6ZQWSMLRXEJ
eggs,1304511111,4,A38L32Q21P5T95
low fat yogurt,1304146744,4,A3BWP3PY4IUMTH
mashed potato,6040652705,2,A1NRLEB0KOB65O
protein bar,5297000963,3,A3UQXZCB1CXFNL
antioxydant juice,1304196062,4,A3T58OUIBEL24K
fresh bread,6022600744,5,A3AAAZ446W2B3B
chocolate,1304651088,3,A3ILSW0GC00YY
whole weat flour,1304139212,3,AJ8114KFKVCHX
salmon,1304196046,3,ANLSZ40VRRB21
escalope,1304624498,3,A2U1PYP2Q7BUB2
pepper,3227000754,4,A024581134CV80ZBLIZTZ
mint green tea,6117036094,3,ABLW2M2R7VQIA
energy drink,1304146434,2,A294IJJRMVOBSE
toothpaste,6175005570,4,A3FPJWX0GHJCCG
burgers,1304482596,1,A5UQ98GXX7T47
whole wheat pasta,1304488608,1,A13G2YWZQ3522K
mushroom cream sauce,5357955905,4,A1Q3W2FX8LKH19
green beans,5357955786,2,A13UXDADSBZ0NV
chili,6041134494,5,AY25UTTDNJ5SX
babies food,6169040335,2,A2W470AYOQCZZ9
french fries,1304511081,2,A95LEWENLGMHH
shrimp,205616461,3,A30HUW0YSPL6N
energy drink,1304146434,1,A9E7CTWB6KFTK
light mayo,3222000565,3,A3MNCA0VED4SQD
mushroom cream sauce,5357955905,4,A1GLIRME0V0J4Z
champagne,1304665720,3,A20BE32WVZFXAF
bug spray,3423470476,4,AYFZQPNEVSFMD
french wine,1412759676,2,A3FNVF412991A6
salmon,1304196046,5,A37KZTDCHTQMU0
pet food,4057362967,2,A3TDS7PK6K3TY1
yogurt cake,1304651118,4,A3UX3UDVQ9OHLI
vegetables mix,737104473,4,ABVND860D55AJ
oatmeal,7800558258,1,A26TLFFBFPEOKJ
tomatoes,1572671203,2,A2Q8QWVIZM213M
green grapes,762451459,3,A3C5DYTUXUCL0S
almonds,558925278,3,A3DNSZT2HIB30J
frozen vegetables,1304511073,5,AA0ACUPEPT1RN
turkey,1304482685,1,A16UTJN8DODY6N
parmesan cheese,1304622223,3,ACB9GSMY2GY0O
avocado,733001998,5,ANNS6DSY390Z2
water spray,7842953384,1,A39SBRLJ1EQX1R
escalope,1304624498,1,A3A2HRW0GR4EWU
brownies,6022600790,2,A2H3NOCLLEPOKQ
chocolate bread,6022600812,4,A1JM3NL9GSQ17N
tea,7883527428,1,A2P0254ZZ42ZOJ
pepper,3227000754,3,A2686J58T322ZS
extra dark chocolate,6165290582,5,A7DS7JE3D53XW
pasta,1457982633,1,A267CAHUU3HOPQ
white wine,6167061580,1,A30CAUEGZO0DO6
candy bars,3227001055,4,A249F9ZBJ3ZDIA
meatballs,1304511146,2,A9AZG7UY7VT89
bacon,6152000416,5,A05492663T95KW63BR75K
oatmeal,7800558258,5,A2LRQ8GV6PZMHX
corn,6022600685,1,A2B3FQVNDDT4PF
bramble,5357955743,5,A1YJEY40YUW4SE
shrimp,205616461,4,AS5RB0XRDQZCS
tea,7883527428,5,A6SS3B6BFQ5KX
rice,1304622193,1,A293VWKAL1RWBG
honey,1304174778,4,ABPIQZ23IBOJ
water spray,7842953384,5,A2DQ8W8ON2QZD3
protein bar,5297000963,3,A18S7SDS6HJ4LA
olive oil,1304351475,4,A60XNB876KYML
cooking oil,3227001381,2,A2U7D909NH8L0U
cottage cheese,1304140894,2,A3G6XNM240RMWA
herb & pepper,1304622460,1,A00205921JHJK5X9LNP42
fresh tuna,1304622665,3,A1SXKLV75ZL6DM
energy drink,1304146434,3,A3CI83124O6ZP1
meatballs,1304511146,3,AYM7E80UCJX7I
napkins,7883633309,2,AIPOM0VDQ2SN3
spinach,1304196135,4,A1QY7B8PEZDTDZ
eggs,1304511111,1,A187IEMZIHO4UU
salmon,1304196046,3,A4R3YZHWJSWHU
cake,4057362797,2,AO4WIKXQZJDQE
dessert wine,5357956227,2,A1R3PGXKL7EZSJ
protein bar,5297000963,4,A1PQFP6SAJ6D80
body spray,7539914718,2,A38FVHZTNQ271F
dessert wine,5357956227,5,A11PBM6FRXUJ5Q
protein bar,5297000963,2,A1GX3Y7VXYG6TH
light cream,6053640972,4,A3S0E0QE8XYMAK
red wine,1304511154,1,A2FHYMW4OA53N1
cottage cheese,1304140894,5,AFY6ZIQXMLGR3
whole weat flour,1304139212,3,A3BTN14HIZET6Z
ham,1304665784,3,A2T0H00MMGU7LZ
cream,7535842801,4,A1Z59RFKN0M5QL
ham,1304665784,1,AWUO9P6PL1SY8
bacon,6152000416,5,A6P7VX90EVIKI
pet food,4057362967,2,A1CWY4G16721R2
carrots,1906987238,4,A1X2OY7Y2J6LO1
whole wheat rice,4057363823,1,A2KF5WHTOADF85
antioxydant juice,1304196062,2,A1SNMU6VFTJKQI
sparkling water,1304622452,4,A25K4CSIYN1OLB
bacon,6152000416,4,A2EUU17DUVWII9
tea,7883527428,4,A2D0IC8KRJHG3F
muffins,1403790965,3,A1S8PWBOOL44SM
chocolate,1304651088,5,A27M7DNCKQ6D5Y
cottage cheese,1304140894,3,A3MUOZ4MPR1EA6
fresh bread,6022600744,3,AAYYLJOCG88F4
olive oil,1304351475,3,A37JSWUOEQC89O
meatballs,1304511146,5,A3GVNPYMG6ON95
mushroom cream sauce,5357955905,3,AW4GGNNHDM937
mint,1304651347,3,AR9GA6ULUK1AC
salad,1304174867,1,A2JB80MHMU6O3I
spinach,1304196135,1,A2NOM3LJVRKWTJ
chocolate,1304651088,2,A1L7J1U5Y2RECB
tomato juice,1304146537,3,AN0CUE13AJLEW
bacon,6152000416,3,A1PZ2ORQU247JZ
strawberries,5357955832,4,A1BXLQFDJII0ZE
ground beef,1304622428,5,AAIGQYAH5WNSU
cooking oil,3227001381,3,A57JZDRIKHEMC
energy drink,1304146434,5,A22PDHKTMOUKKS
body spray,7539914718,1,A33A728PP859Y5
cookies,1304511124,4,A1JBLH8S6DLCL1
barbecue sauce,6041134511,2,AK7O6VOOXQBYQ
oatmeal,7800558258,3,A3I6P2NU6726XG
almonds,558925278,1,A25GW5G5GQVKB0
strong cheese,4057362886,2,A1LL4WRN7OBRW8
whole weat flour,1304139212,5,AOJ5TYNLD4G68
mushroom cream sauce,5357955905,2,A17U6P3YQISHYH
bug spray,3423470476,3,A4GKGUD4TIFL
cereals,5357955972,1,A7O67Z6ZAYN8B
turkey,1304482685,3,A2VHK6MXXTR6FD
asparagus,1304665704,1,AXG1D956QCMHI
fresh bread,6022600744,2,ATWTNXM6WNV5N
corn,6022600685,4,A32O109KR1IFX7
blueberries,6162751473,1,A1BW4LQY9U32PC
tomato juice,1304146537,1,A8FPPXG1OEZ77
chutney,1304482634,4,A37E33Y5A3RFYG
french fries,1304511081,1,A3KJ9MA7I7S4IC
soup,1304495396,2,A4ZAYGW831ZGI
clothes accessories,1304651029,4,A2AYT9K7UK7R68
whole weat flour,1304139212,2,A1OXSFS5ZDY7NP
chocolate,1304651088,3,A3AI3DJQ8NI1UX
mineral water,1304174905,5,A22P8CW9NVJ49H
clothes accessories,1304651029,5,A3SP22BU1008GV
chili,6041134494,4,AFQO7NSU6OSGH
milk,3292000971,1,AX43HESIL985S
pasta,1457982633,1,APULYOSZS226A
burger sauce,5357955454,2,A2X0OUA7W3HNZI
chocolate bread,6022600812,3,A2WE4LU82W1U1L
shampoo,6162071103,3,A1WSGOA6S3U9OC
tomatoes,1572671203,4,A1UUX9VH9XXX0B
tomato sauce,1304624544,5,AHVY2JTMYHWYA
shallot,1929099886,5,A2BXY2QG6XXZQR
tea,7883527428,2,A37860PZPUUY1V
antioxydant juice,1304196062,2,AY3F1CVHTNVBU
black tea,6117043058,5,A4J7EDWN32459
burger sauce,5357955454,3,AZGGH4GS18RUN
cake,4057362797,4,A3HGJM50RTYPGQ
tomato juice,1304146537,5,A1GYOSEAJ5EEK1
green beans,5357955786,2,AGP8NQ1MCH0A
chocolate,1304651088,2,A12K9YFOYOXHAJ
clothes accessories,1304651029,3,A3NR9WJZCAKB40
sandwich,4057368825,1,A1ZOGA1A495OHV
rice,1304622193,1,A264BXIV14DIWA
shallot,1929099886,5,A2YWHJXGR6R00D
soda,5357956111,4,A2ETF4N62SFLOJ
tomato juice,1304146537,3,AQXX46012LVOT
honey,1304174778,1,A2WZYYQDFVZDZ7
fresh bread,6022600744,4,A2C1VR841W5BHI
fresh bread,6022600744,4,ATZVCICY66PXZ
light mayo,3222000565,1,AGR6NXP9R8D66
mineral water,1304174905,2,A18DY88WBTDFIF
energy bar,1304622657,1,A1AUDV6O35S9DS
frozen smoothie,1304196070,5,A2RGINT43SUQ49
mint green tea,6117036094,1,A3Q1XK4NGQJGHF
vegetables mix,737104473,3,AASZF2ULVECTD
tomato juice,1304146537,2,A1SGXQTDZ6BJNH
tomato juice,1304146537,1,A12377XOL83LBK
whole weat flour,1304139212,5,A1V3QKA6RZE4Z9
mint,1304651347,2,A35QQ9Z0YSBPUR
gums,5357955948,1,A25IZEM9CGLBB
cooking oil,3227001381,3,A22ZS7VGA34SM4
gluten free bar,6041134473,1,A3RZB4IQ17Y7VX
oatmeal,7800558258,2,A2FSA9BJC7O7X7
bug spray,3423470476,3,A173D8H9C18PCI
frozen smoothie,1304196070,2,A2SBLI6XGBI1GK
mineral water,1304174905,5,A7LEHTDY7Z1PD
chili,6041134494,2,A8WHCF3SY0L15
dessert wine,5357956227,3,AXH81K09PSKLL
oil,3602116004,5,A2PZ830VJ2GZEZ
light mayo,3222000565,4,A1OVF6WMXX9CBS
pasta,1457982633,1,A3E60CSK5WW8BQ
honey,1304174778,2,A319PGL9XMNT6A
whole wheat pasta,1304488608,3,A2JPOCC17QIOUI
butter,1987958179,5,A1DPSUISPJG4K6
water spray,7842953384,1,APKFDTZU2MX0K
salmon,1304196046,2,A1H549TTDWKPCK
shallot,1929099886,2,AF7UW6L8OIKS7
chocolate bread,6022600812,1,A11J7PLZJ99M7O
zucchini,7806397051,5,AWQNOD7X9273P
gluten free bar,6041134473,1,A3RCCDL4Y1XZDJ
brownies,6022600790,2,A10205RFE66H1R
corn,6022600685,3,A36NPWR62GGB90
ground beef,1304622428,2,AU5Z287G31579
ground beef,1304622428,2,A3QKZZ3Y3FM21N
champagne,1304665720,4,A1JLP1MLTJZPJ7
cottage cheese,1304140894,1,A123AJQJYJY5Z5
zucchini,7806397051,2,A1J3YHEET4SV5G
salt,4057362843,3,A185Q4S3NFOUOZ
chocolate bread,6022600812,3,A2B4MXLEP42IQH
chili,6041134494,5,A189H8NPEQN58F
escalope,1304624498,5,A1R2MKM2YT5ND0
melons,6175005589,5,A23UV2QRYP8PX4
strawberries,5357955832,3,A1N9AIQ75P3J5W
meatballs,1304511146,2,A18U3OPGXGQSMO
fresh bread,6022600744,3,A147FGQTHCMO6R
zucchini,7806397051,2,AWM0V317JA4X5
asparagus,1304665704,4,A1B2BDWB519WIW
spinach,1304196135,5,AVIFRWR2YKO73
soda,5357956111,1,A11V6R6WZ5ZQV2
muffins,1403790965,4,A14IT4G4FZFEP6
bacon,6152000416,1,A2E2FYUPAO2M0R
gums,5357955948,5,A2WTWKGP9WES1Q
green grapes,762451459,2,A3D0SBB68TTET
avocado,733001998,1,AL74FP10LMX8Y
salt,4057362843,1,AYTK85H56WQ5F
energy drink,1304146434,5,A18M9192WX98HP
grated cheese,1304651104,3,A13W8KHF7Y1S51
bacon,6152000416,3,A2OP35XWVTJYDK
burgers,1304482596,3,A2P5RDTIGF6XRO
ketchup,7119018714,3,A2KG1LYT548UFB
zucchini,7806397051,1,A1JKZAOB9S4DF2
protein bar,5297000963,1,A2ZMU9L93JSFSR
chutney,1304482634,2,A3GDBKK2C9PXFS
mint,1304651347,5,AMQDTJZRXBPCR
pet food,4057362967,1,AWYRXPZS8TRGJ
cooking oil,3227001381,4,A2T4Y9EBPRLWB0
milk,3292000971,3,A27TQSFIAZX3ET
pepper,3227000754,4,A2W26TXNIF6OFH
burgers,1304482596,2,A1TKC6GRRBJA4T
milk,3292000971,5,A1TNQ0QMWCUBCL
strong cheese,4057362886,3,ALKCBFG5L6FCJ
butter,1987958179,5,A31A7SV73QLTZS
spaghetti,1304511138,2,AL4QPSP65J7IE
toothpaste,6175005570,1,A3VJPW9T8D6P4Q
cream,7535842801,5,A1KEESMVTONAGJ
tomatoes,1572671203,3,AKYM22HHJ4576
melons,6175005589,3,A2UW1YLL8TKAVZ
rice,1304622193,2,A3QJSZDRC4DXB9
gluten free bar,6041134473,5,AVISXECDOZRGQ
fromage blanc,6022600804,3,A1BFS260JO9TZJ
flax seed,5357956014,5,A2T63MAMWZQ46C
antioxydant juice,1304196062,4,A16JWRFT5IHYRA
napkins,7883633309,2,A2FBYXWTRB3TN3
hand protein bar,7538650584,2,A2ML3OG7R68XFP
ketchup,7119018714,4,A1EGRLCSMRGOOX
whole weat flour,1304139212,3,A22FYS1K1E18ET
bacon,6152000416,1,AF508G9N8T5OY
green tea,1304168522,2,A2VB5TIINLFO7B
tomato juice,1304146537,3,A1HB4DFQC6ZGHW
sparkling water,1304622452,1,A104D62WJII6KP
cream,7535842801,1,A5ZBX8PFDNIKE
honey,1304174778,2,A2Z53Z2IXPFE4A
mashed potato,6040652705,4,A1BT4VX5UXV2P9
bacon,6152000416,5,A23I9CZ4MCWD7G
carrots,1906987238,2,AUL78LW1ZS9EW
soup,1304495396,1,AA51P4U4RMPQE
fromage blanc,6022600804,3,A3UW44EC9K7SP2
antioxydant juice,1304196062,2,A3GPN4M7QLFT2L
clothes accessories,1304651029,2,A15HBNI7E4H4I2
ham,1304665784,4,AFD1XMFDOUYW8
cereals,5357955972,4,A3CGZE3WU9FFML
shallot,1929099886,5,A2LR2XYBPSDPS
body spray,7539914718,2,A72QEHDVRNTBC
dessert wine,5357956227,3,ABODWS6KT9V1W
grated cheese,1304651104,4,AL7CQDK6QOGNF
ketchup,7119018714,3,A26SAG6L9SBH08
cooking oil,3227001381,3,A31TGG4GXEBG0Q
light mayo,3222000565,5,A13RB9IGV06SRF
whole wheat pasta,1304488608,4,A31H6EDAGQ4N52
muffins,1403790965,4,A6CGFXIVJNRG0
green beans,5357955786,5,A3UZ13EXH4MO9D
ketchup,7119018714,4,A1IJO0HZ1ONCWH
toothpaste,6175005570,4,A1UXVUM6G2H7D6
avocado,733001998,4,AEU1BMGTLIUNO
low fat yogurt,1304146744,4,A328HZ1HAUPEY9
dessert wine,5357956227,1,A3G5CK0SAWTMK6
herb & pepper,1304622460,2,A25PEHBZLLHTTF
cake,4057362797,2,A3A36DP9IJPRPF
toothpaste,6175005570,2,A108HJD2ESJXUY
sparkling water,1304622452,5,A2Z3DE1JHTWYQX
burger sauce,5357955454,1,A32ZF8TRWMR1B9
sandwich,4057368825,4,A224SVFBOORJRM
green grapes,762451459,4,A2T7A5AIJI9CCF
ham,1304665784,5,A1296LFHAMDOYP
antioxydant juice,1304196062,3,A77EO8HXDT3II
burgers,1304482596,1,A36M0NAGBV38SU
flax seed,5357956014,3,A3LMILRM9OC3SA
ketchup,7119018714,5,A1ZEFDGH5VS0EQ
hand protein bar,7538650584,3,AQZ2MQC5NXN9
red wine,1304511154,1,A2K8K9WVD7FNMG
tomato sauce,1304624544,1,A1E6KFB5MUA6JD
french fries,1304511081,1,A3AVQBR7HHOE1X
cottage cheese,1304140894,4,A30IP88QK3YUIO
strawberries,5357955832,5,A23JG9NJNQ3WXO
